account,amount
23M5ttkmR6KcnxentoqchgBdUjzMDSzFoUyf5qMs7FsmRMvV,1714523844.172
23UvQ3ZQXJ5LfTUSYkcRPkQX2FHgcKxGmqdxYJe9j5e3Lwsi,4735350.226
22sFp199qYu4CM9Tok3eh8KtvHHGYZpepwxqtvLbKFqG9hTy,3864117.628
23DhqhsKDDpFnH2GreWy7Sk4dqUmGCCVPGk5Lpr84jxzBh5T,3572532.361
246CS7mbRGx9AxmNCxk8TXPvdTncW1EBStBX1JpuZcETz8ey,2936472.576
23Da2dpGZhiGF45fZFhyZR7ZR9yKZekASjpaRrhdLbY5r6yt,1879033.593
23Adbsg2s8kGNJHkrMSMfaKh2ExTu9MvwBae1ZwAPeKNbmVz,1100027.924
23WGC8YAapwLxz1jpw44NW4VhaQ851KA8d165yahhdWkRJRx,935922
263cUSPicxPXUD1CgHn81KjLpeCFubzm1EqsFu6bpPZKrpDp,469696
217NfYDjiTTt8THZHH2u5pL71KDAgaEspQxz7k9w5WH9Q4A2,399038.283
25iKjHR2nwrn8dUavmFCqAcxrja1YasLQhckWCygb9CC1UuW,390057.589
23UvQ3ZQvYBhhhL4C1Zsn7gfDWcWu3pWyG5boWyGufhyoPbc,383112.357
23j4ay2zBSgaSs18xstipmHBNi39W2Su9n8G89kWrz8eCe8F,300000
25e8CwDBHuvcpjMxqco3JnoDGzFqxJhPe9ECQujjZL5rkKmn,250110.532
25s8fdiCZzWboZmTZowZr3ce9tbTmiE83WtMN9FZ73N9CYh3,177433.185
25zPhmmQGSEd8fXfH3GVGF5SaN5LYH8ixFt2FAEwQvQyLove,157506.159
25YCYnFqKcUB8xz7AsUtuxVWzvqMrUj5wSmo9tWFekRjy3eJ,152353.046
24JxgR7Qph4h1JE2rarvcjLAuJ5ZCRRU3UDHBF8Swuan8YW1,151988.263
24VonbUuxQ1CSLG3vPHLbonKvkgEs7dVzkwDQJyMiWvrBkUL,150511.073
24Px9gwiXJrVgCvWbSG2rxQHLGCWyzyvCNJdSykcNzhQqyKR,150000
26TBENZUkDa6ezvBqWKsc7HZ5Kqr5KhQgtbn7vhGi1MxnKhJ,127934.694
22bKt6jMy4UTxDMiicm1tv7PiGvZrBtHPTjUNF8cE8WoVefM,107660.23
zw69mSioDm66y283xz8g4nzR7zNfwB7Yn89oFo1N4BsrR7j,101409.652
21MBxgCyHZbgxwZEXJMAwFBr1U8TPvssrQ6w9phWruRMyFpf,100000
24148bNZa1sBt48uLW9civmpWUnpabmDydi5cenydUZpwdUk,88021
21UbUwWWQvfwYxpkC6eaP1UPX91jRVpU2M7x3jPjz2tDUa1X,83470.373
22c1qyYWQS94JSSpYFFcYSs8hYynuwS99pCwUcDayTD1RWtn,77941.749
22miD3fb4GakiYzcURaFfLs6WXAkUmUTX2b4UEdBkzju1MDR,67919.256
253rcz1RVQnJKFYx95gef6Tce8x9b63EnCciqbpJ6Wm6wryU,65299.199
21uDV86a2APWt5StkXrVUsmj9WpEnxCBmi8XCBcDWWguw4Bu,57000
25v1BEfEoZSWLr34Jqj5Y4CYGRJEyvtTeuTs8a3rVZGpPjEQ,54778
25Vu5Qj3iBHSaZVKeCqR1B54iTgcsmDQ55SRHYh96osmVnJs,50025.953
25pXGpErXXaaKnX72BbGDaAPbnF8VgFhrKycsVKXcLQhDRiA,49059.975
23d19597TN8yxc5wBgmxsXFZ5sgvwy8Zp9pcmWbRPifj6ndx,48911.722
26N5qSkHuwGGjskHuZqCgPJnxxQZAPtxjaRyPEmx8jvTdzgh,48166.707
212MBCvB4ah9E8zgx73Dy7YRgr43LAcAu669tKsby773TA8c,46601.49
25Xwa9DBi7kxTBsarSDvQzWDYe8X2u3yW6ZtZ7nyjwpaAg3t,45988
23cAjLnrJkFZ3crbNZLr7uNE58kmuvpjZVA2axoCkR4pxBUJ,42481.755
232KzC62oBQJcxGbsZEF61qFmhDADUGoQzbPx4PHPBzNMy8W,40536
26ASbGRw7mmeAkVpytL1jFKg9y9y6sftabsCZm3N9nNQxrzk,39999.741
23En8vsfjc5PwPYGTAwazR39LvtzHQGDX3GnAykECufc5kkK,37885.902
21JRiZ7VDWnECCsAGFm6vubgoJo72j6Szsr5GhAZH7cMgFeb,36762.5
21L3FqQbvZWHwMdum1HAN9pQystzJ64HPeeksatkqwRo5dTp,35623.305
21cF27pb6shDzCw7JjpAqV3K8ojtn8QuabTsvZzXNKarPije,34010.141
24xPLMDXHUnunJ6q9imU75S8eUh7d9F5pbUCuCgEVWiizStH,32046.326
